group_id,id,is_favorite,joined_at,user_id
0ab783c3-633d-4558-b28f-55e7754b893a,1a3cfe75-b7e6-4988-a9c4-19caa6cc434a,False,2026-08-20T04:56:11.727+00:00,a7fedfe0-fff7-40d9-abe4-a0e7ca623c58
0ab783c3-633d-4558-b28f-55e7754b893a,7b1ca909-d81a-447d-a368-8e2db445be21,False,2026-08-20T04:57:23.018+00:00,5bbed151-0cbd-40fb-be8f-d75dd3382314
0ab783c3-633d-4558-b28f-55e7754b893a,2dd66c87-7ad3-4cde-9113-a7a691620270,False,2026-08-20T04:58:26.973+00:00,dc64810f-6951-4c64-981e-5753eaf71f6c
0ab783c3-633d-4558-b28f-55e7754b893a,18950b04-e6aa-40d2-be99-b278be6043c5,False,2026-08-20T05:02:02.518+00:00,cad68317-703e-4ccd-89a2-f91bea14f2bc
8b9967c5-f0a6-4035-8fdf-f18bce182da2,ae020147-e537-476d-9518-93428ab844b3,False,2026-08-20T05:03:43.801+00:00,fc518e9e-a90c-4870-8303-1efd602d5036
0ab783c3-633d-4558-b28f-55e7754b893a,f61efe56-889a-413f-8ca6-fcc21f692c8c,False,2026-08-20T05:22:21.708+00:00,ae8a79e7-3f8a-4921-a9c6-8ef577ee6a4f
8f9e1f0e-c8e4-462d-9625-8864cc8731ab,7a5ea7fc-6172-495e-8b2d-09873e8a6b6b,False,2026-08-20T05:23:45.876+00:00,7fc76483-2afd-43f3-a5e7-506d1df361db
8b59a2d0-601b-4563-9f56-522f134c01c0,d9fef54d-6491-45b1-a928-4e66676733af,False,2026-08-20T05:41:00.954+00:00,10f4fc30-b881-4d48-96a2-497319d9d923
48fa7f72-c679-4e59-bbf2-606fdba7a83e,cba1820d-d492-4fdd-8d64-b52ea27627a1,False,2026-08-20T05:42:41.303+00:00,10f4fc30-b881-4d48-96a2-497319d9d923
8b59a2d0-601b-4563-9f56-522f134c01c0,c0aa71f5-3f1a-49bb-827c-bf33d9f56418,False,2026-08-20T05:43:12.065+00:00,4d685aee-a168-4e77-9c29-8733d7b5963d
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,c6c79d8c-d871-4a09-b3e5-17e93e4b12d6,False,2026-08-19T12:49:34.06+00:00,9383f6e0-0418-4638-a96b-900d71a3a496
8a61a7c9-6a7f-4f0d-9131-9ba2d833034d,66d174db-c167-46fd-9343-aeb6c7421129,False,2026-08-20T05:44:56.138+00:00,10f4fc30-b881-4d48-96a2-497319d9d923
8a61a7c9-6a7f-4f0d-9131-9ba2d833034d,20de8d96-4c89-41e3-b174-51cdd48974b8,False,2026-08-20T05:46:34.762+00:00,27324a9a-bbbb-484f-8b40-97b0a9964aa7
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,268da69e-ed38-48f8-8017-d456d94d6cc3,False,2026-08-19T13:01:42.149+00:00,e47b2055-3d4d-42a6-a28b-b9ca30afbb9c
ccfd349e-2a2d-473d-88d4-43fdf8a88f64,833af7ac-101f-4b77-8254-a56b217f476c,False,2026-08-19T13:20:00.214+00:00,668143b3-f20c-4938-a55c-aee7ad9eed3a
8a61a7c9-6a7f-4f0d-9131-9ba2d833034d,b405f4ca-f7ca-48f7-bef2-16c930e29330,False,2026-08-20T05:46:50.056+00:00,dbe21870-a1da-455b-8564-ac5615120f81
8b59a2d0-601b-4563-9f56-522f134c01c0,b605e3ba-c31b-407a-882d-3a1eecf46aa9,False,2026-08-20T05:49:08.932+00:00,e4fc9c97-e159-42d7-82b6-aebf4f778a68
8a61a7c9-6a7f-4f0d-9131-9ba2d833034d,0ceeaee5-845a-40e3-8e3e-b71d4a3a42fa,False,2026-08-20T05:52:58.37+00:00,1fcb0f91-d633-4e4f-bbef-aa438da02f7b
24b4fd54-9eeb-45cb-9d94-9937b8791296,27286ae2-7fd7-4d81-966e-c7d3fe01b3d7,False,2026-08-20T06:00:49.152+00:00,865ad171-4c03-4d86-ab66-e0ccf764f6fe
48fa7f72-c679-4e59-bbf2-606fdba7a83e,6497c4d5-3ca8-40b5-9ac1-ec044c7991a5,False,2026-08-20T06:01:20.654+00:00,6a2f52bb-d4bb-475d-9c9a-fb6d1edf84e6
8a61a7c9-6a7f-4f0d-9131-9ba2d833034d,34af0bdc-ceb1-47b3-8efc-406062229cdf,False,2026-08-20T06:23:23.977+00:00,b143c67f-8386-4dc9-a1ea-bea8d7e5906d
0ab783c3-633d-4558-b28f-55e7754b893a,1aa60151-15cd-4adf-baf0-999bb189d629,False,2026-08-20T06:42:46.976+00:00,3614e5c8-4077-458a-90de-19578cbf07ed
0ab783c3-633d-4558-b28f-55e7754b893a,52752bbf-9547-4b79-a808-3bd565b29100,False,2026-08-20T06:42:49.524+00:00,d3d4aa06-7379-4b1d-8c68-94c268947e81
0ab783c3-633d-4558-b28f-55e7754b893a,9b16c03c-9466-4dfb-9d81-7fd6342bd132,False,2026-08-20T06:45:35.718+00:00,0f8edc2a-d72e-4e4f-956d-f33ef05fb3f1
24b4fd54-9eeb-45cb-9d94-9937b8791296,b4ccb944-441c-43c6-a858-c44fc40e218b,False,2026-08-20T07:02:13.62+00:00,b53d4603-1a5b-4ce2-808c-09c4c660b1aa
0ab783c3-633d-4558-b28f-55e7754b893a,da09c532-c5d7-48cd-b210-4ef4dd880407,False,2026-08-20T07:12:37.628+00:00,3dced354-3ae3-4fbd-9596-0fad588d654e
d42db786-d596-404b-98bc-1d77dcb16724,2f286ad1-bb13-401d-8ade-c49609ff42ac,False,2026-08-19T13:58:23.238+00:00,d8a9906b-d76e-4a19-aeff-f75662cc3f51
